age,balance,job,housing,loan,subscribed
20,849,blue-collar,no,no,0
23,-380,technician,yes,no,0
50,2435,blue-collar,no,no,0
66,2404,blue-collar,yes,no,0
61,574,services,no,yes,0
65,5470,management,yes,yes,0
25,29,student,no,no,0
44,1261,technician,yes,no,0
55,2778,admin.,yes,no,0
50,3284,technician,yes,no,0
58,4055,technician,no,no,0
29,2357,blue-collar,yes,no,0
41,3602,retired,yes,no,0
41,170,unemployed,yes,yes,0
66,3336,admin.,yes,no,1
28,3309,student,no,no,1
34,4526,management,no,no,0
19,-1837,blue-collar,no,no,0
25,-314,services,no,no,0
69,3146,blue-collar,yes,no,1
62,-2000,admin.,yes,no,1
31,2484,unemployed,no,no,0
54,3620,services,no,no,1
48,347,blue-collar,yes,no,0
65,640,technician,no,no,0
33,-648,unemployed,yes,no,0
69,457,technician,yes,yes,0
37,515,retired,yes,no,1
55,134,retired,no,no,0
38,25,technician,no,no,0
52,958,management,yes,no,0
35,934,management,no,no,0
61,5248,management,no,no,0
51,712,technician,yes,no,1
33,2188,admin.,no,no,0
67,346,blue-collar,yes,no,0
54,321,services,yes,no,0
40,-1909,management,yes,yes,0
25,-1643,management,yes,no,0
68,-914,services,yes,no,0
57,1867,admin.,yes,no,0
52,3652,admin.,yes,no,0
61,-2000,student,no,yes,0
49,402,services,no,no,0
30,-1234,student,yes,no,0
30,971,blue-collar,yes,no,0
22,3652,technician,yes,no,0
21,606,retired,no,no,0
55,1405,blue-collar,no,no,1
62,4410,admin.,yes,no,0
26,2416,management,no,no,1
47,-20,services,no,no,0
24,1818,unemployed,no,no,0
39,-155,retired,yes,no,0
59,2341,management,yes,no,0
60,2531,admin.,no,no,0
67,-1234,technician,yes,no,0
34,1850,retired,yes,no,0
67,1265,technician,yes,yes,0
58,2589,unemployed,yes,no,0
35,3163,management,no,yes,0
35,2455,admin.,no,yes,0
23,894,technician,yes,no,0
65,3367,management,no,no,0
28,-246,admin.,yes,no,0
31,-1141,technician,no,no,0
39,-2000,management,yes,no,0
25,1360,blue-collar,no,no,0
59,-143,technician,no,no,0
54,2296,management,no,no,0
26,-2000,management,no,no,0
26,206,technician,yes,no,0
19,2441,unemployed,no,no,0
67,-560,retired,no,no,0
40,2319,technician,yes,no,0
52,386,blue-collar,no,no,0
25,1434,management,yes,no,0
30,2690,blue-collar,yes,no,0
46,3406,student,no,no,0
28,1685,services,yes,no,0
49,-128,technician,yes,no,0
66,584,services,yes,no,0
33,2774,services,no,no,0
49,-543,retired,no,no,0
65,1144,blue-collar,yes,yes,0
64,728,retired,no,no,0
18,1293,admin.,no,no,1
23,-519,management,no,no,0
69,-2000,retired,no,no,0
66,2541,technician,no,no,0
34,3428,admin.,yes,no,0
45,-2000,student,yes,no,0
47,2238,student,no,no,0
52,3666,blue-collar,yes,yes,0
57,2692,technician,yes,no,0
37,667,student,yes,no,0
64,-387,blue-collar,yes,no,0
21,1662,services,no,no,1
19,1996,technician,yes,no,0
67,1692,blue-collar,no,no,0
27,1140,student,no,no,0
69,-665,blue-collar,yes,yes,0
32,2345,retired,yes,no,0
36,2442,services,yes,yes,0
19,1902,technician,yes,no,0
67,1722,technician,yes,no,0
36,4858,technician,no,no,0
26,251,student,yes,yes,0
43,4063,management,yes,yes,0
26,32,management,yes,no,0
59,3718,technician,yes,no,0
21,3967,blue-collar,yes,yes,0
43,914,admin.,no,no,1
38,4822,management,yes,no,0
19,2438,technician,yes,yes,0
20,-255,technician,no,no,0
44,752,technician,no,no,0
38,3766,technician,no,no,0
24,3346,management,yes,no,1
25,-616,services,no,no,0
59,1221,unemployed,yes,yes,0
55,1907,blue-collar,no,no,0
49,485,services,yes,no,0
61,6216,admin.,no,no,1
21,1967,student,no,no,0
53,1376,services,no,no,0
57,3882,technician,yes,no,0
28,770,student,no,no,0
45,3515,technician,no,no,0
57,-1835,blue-collar,yes,no,0
49,593,technician,yes,no,0
30,3598,admin.,yes,no,0
52,4640,retired,yes,no,0
57,-47,management,no,no,0
18,-280,management,yes,no,0
47,2635,retired,no,no,0
44,254,student,no,no,0
37,963,technician,no,no,0
20,3253,admin.,no,no,1
22,412,technician,no,no,0
57,-2000,retired,yes,no,0
61,-1102,retired,yes,no,1
39,1520,management,no,no,0
66,-2000,blue-collar,no,no,0
66,906,blue-collar,yes,no,0
52,-1284,retired,no,no,1
48,4780,blue-collar,no,no,0
68,5830,services,yes,no,0
49,-616,technician,no,no,0
66,2014,blue-collar,no,no,0
68,-421,management,yes,no,0
28,881,unemployed,yes,no,0
52,5107,management,yes,no,1
56,567,technician,no,no,0
60,928,technician,yes,no,0
36,-385,retired,no,no,0
62,3792,services,no,yes,0
43,-2000,technician,no,yes,0
38,614,management,yes,yes,0
26,1408,blue-collar,yes,no,1
34,178,admin.,yes,no,0
68,3227,retired,yes,no,0
55,3904,services,yes,no,0
55,-1324,blue-collar,yes,yes,0
64,5687,blue-collar,yes,no,1
31,-1347,unemployed,no,yes,0
52,4077,services,yes,yes,0
37,1800,services,yes,yes,0
62,493,admin.,no,no,0
39,681,unemployed,yes,no,0
62,1433,retired,no,no,0
56,1917,services,no,yes,0
58,-340,blue-collar,yes,no,1
66,1032,management,no,no,1
59,-41,student,no,no,1
34,-930,student,no,yes,0
45,-135,unemployed,yes,no,0
42,-800,services,yes,no,0
21,660,blue-collar,yes,no,0
48,2365,technician,no,no,0
40,1741,student,yes,no,0
38,5449,blue-collar,yes,no,1
23,-2000,blue-collar,yes,yes,0
44,2439,management,yes,yes,0
48,1513,technician,yes,no,0
23,3131,student,yes,yes,0
51,2933,blue-collar,no,no,1
26,1170,blue-collar,yes,no,0
25,1845,blue-collar,yes,no,0
38,12,management,yes,yes,1
38,2727,management,yes,no,0
65,-2000,technician,no,no,0
21,3054,technician,yes,no,0
36,1454,blue-collar,no,no,0
56,526,management,no,no,0
30,1035,unemployed,no,no,0
69,1182,management,no,no,1
56,4095,blue-collar,yes,no,0
67,7967,services,no,yes,0
67,3940,blue-collar,yes,no,0
23,369,admin.,no,no,0
41,2760,blue-collar,yes,yes,0
56,2847,admin.,yes,no,0
18,-350,blue-collar,yes,no,0
41,-1022,student,no,yes,0
53,1373,blue-collar,no,no,0
59,3115,management,yes,no,0
39,-1724,retired,yes,yes,0
62,58,services,yes,no,0
53,2645,technician,no,no,0
20,1583,management,yes,no,0
32,4333,admin.,yes,no,0
66,-1323,technician,no,no,0
18,6204,technician,no,no,0
23,-1576,student,no,no,1
35,-2000,student,no,no,0
69,1382,student,no,no,0
54,-769,management,yes,no,0
25,1422,services,yes,no,0
38,1353,student,no,no,0
66,1108,retired,yes,yes,1
29,-185,technician,no,no,0
47,2365,unemployed,yes,no,0
42,865,retired,yes,no,0
57,3707,technician,yes,no,0
57,1139,admin.,no,no,0
61,-429,blue-collar,no,no,0
24,-1875,management,yes,no,0
41,1156,admin.,yes,no,0
53,-1038,technician,yes,yes,0
39,-1200,services,yes,no,0
52,2555,retired,yes,no,1
51,-2000,student,no,no,0
37,4324,management,yes,yes,0
23,1819,technician,yes,no,0
68,1412,blue-collar,yes,no,0
60,-570,management,yes,no,0
64,3029,blue-collar,yes,no,0
33,1494,services,no,no,0
34,128,unemployed,no,no,0
34,1900,services,no,no,0
19,-1866,management,yes,no,0
26,-1771,management,no,yes,0
34,-740,student,no,no,1
69,2199,technician,no,yes,0
28,1493,technician,no,yes,0
44,3598,blue-collar,yes,yes,0
46,-340,services,no,yes,0
36,2649,blue-collar,no,no,1
65,1272,technician,no,no,0
22,-386,management,no,no,0
63,2271,admin.,no,no,0
56,1368,services,yes,no,0
33,242,blue-collar,no,no,0
57,1584,blue-collar,no,no,0
40,1241,admin.,no,no,0
68,1193,blue-collar,no,no,0
19,675,unemployed,yes,no,0
19,-1110,unemployed,yes,no,0
46,1650,management,yes,no,0
66,-105,services,no,no,1
21,-541,management,no,no,0
58,1019,retired,no,yes,1
66,2968,technician,no,no,0
43,1871,admin.,no,no,0
63,438,management,yes,no,1
57,357,unemployed,no,no,1
29,2772,blue-collar,no,yes,1
62,-2000,technician,no,no,1
54,3095,technician,no,yes,0
18,-2000,technician,no,no,0
47,-1331,management,yes,no,0
52,471,technician,no,no,0
59,5840,retired,yes,no,0
58,4855,student,yes,yes,1
42,2913,admin.,yes,no,0
33,2213,student,yes,no,0
27,-2000,management,yes,no,0
22,1814,technician,no,yes,0
51,402,technician,yes,no,1
67,-133,student,yes,no,0
22,1810,technician,yes,no,0
